,Judge Name,Average_Agreement,Count
222,Sal D'Amato,0.6776859504132231,121
46,Chris Lee,0.6195652173913043,92
74,Derek Cleary,0.7183098591549296,71
160,Marcos Rosales,0.6666666666666666,57
244,Tony Weeks,0.6607142857142857,56
94,Glenn Trowbridge,0.6521739130434783,46
64,Dave Hagen,0.7368421052631579,38
38,Cecil Peoples,0.7105263157894737,38
78,Douglas Crosby,0.7027027027027027,37
136,Junichiro Kamijo,0.7837837837837838,37
168,Michael Bell,0.696969696969697,33
36,Cardo Urso,0.65625,32
105,Howard Hughes,0.7419354838709677,31
2,Adalaide Byrd,0.5172413793103449,29
118,Jeff Mullen,0.7857142857142857,28
205,Richard Bertrand,0.7692307692307693,26
181,Nelson Hamilton,0.84,25
162,Mark Collett,0.72,25
152,Lester Griffin,0.6521739130434783,23
24,Ben Cartlidge,0.7727272727272727,22
186,Patricia Morse Jarman,0.5238095238095238,21
17,Andy Roberts,0.6842105263157895,19
189,Paul Sutherland,0.631578947368421,19
66,Dave Tirelli,0.5,18
41,Charlie Keech,0.6470588235294118,17
209,Rick Winter,0.47058823529411764,17
21,Barry Foley,0.47058823529411764,17
82,Eric Colon,0.7647058823529411,17
83,Eric Colón,0.7058823529411765,17
98,Guilherme Bravo,0.6470588235294118,17
85,Evan Field,0.6470588235294118,17
218,Roy Silbert,0.6875,16
70,David Therien,0.6,15
49,Chris Watts,0.6153846153846154,13
34,Brian Puccillo,0.7692307692307693,13
216,Ron McCarthy,0.8461538461538461,13
116,Jeff Blatnick,0.8181818181818182,11
164,Mark Smith,0.6363636363636364,11
90,Garth Harriman,0.6,10
134,Joseph Terrell,0.8888888888888888,9
250,Wade Vierra,0.6666666666666666,9
69,David Lethaby,0.5555555555555556,9
18,Anthony Dimitriou,1.0,9
137,Kelvin Caldwell,0.5,8
146,Kon Papaioannou,0.625,8
51,Christopher Shen,0.625,8
5,Aladin Martinez,0.7142857142857143,7
100,Hallison Pontes,0.42857142857142855,7
234,Takeo Kobayashi,0.8333333333333334,6
163,Mark Craig,0.3333333333333333,6
79,Dr. Greg Jackson,0.3333333333333333,6
190,Pawel Harasim,0.6666666666666666,6
26,Benoit Roussel,0.3333333333333333,6
125,Joe Soliz,0.8333333333333334,6
9,Anders Ohlsson,0.6666666666666666,6
245,Troy Wincapaw,0.8,5
22,Barry Luxenberg,0.4,5
173,Mike Beltran,1.0,5
239,Tim Vannatta,0.6,5
248,Vinicius Lins,0.6,5
139,Ken Coffey,0.8,5
196,Phillipe Iorio,1.0,5
184,Otto Torriero,0.8,5
117,Jeff Collins,0.6,5
1,Abe Belardo,1.0,5
109,JJ Ferraro,0.75,4
159,Marco Aurelio Borges,0.5,4
185,Pasquale Procopio,1.0,4
156,Maciej Motylewski,0.5,4
101,Hector Gomez,0.75,4
154,Lukasz Bosacki,0.75,4
131,Jon Schorle,0.5,4
0,Aaron Chatfield,0.75,4
25,Ben Ramirez,0.75,4
35,Bryan Miner,0.75,4
10,Andreas Gruner,0.25,4
232,Susan Thomas-Gitlin,0.5,4
57,Dalby Shirley,0.6666666666666666,3
19,Anthony Maness,0.3333333333333333,3
157,Mans Nilsson,1.0,3
43,Chris Flores,1.0,3
153,Luis Cobian,0.6666666666666666,3
102,Hector Hernandez,0.3333333333333333,3
61,Danny Dealejandro,1.0,3
56,Curtis Thrasher,0.3333333333333333,3
150,Larry Landless,0.0,3
107,Howie Booth,0.6666666666666666,3
54,Clemens Werner,1.0,3
212,Robert MacAvoy,0.6666666666666666,3
161,Maria Makhmutova,0.6666666666666666,3
126,John Cooper,1.0,3
71,Dean Weir,0.6666666666666666,3
229,Steve Rita,0.3333333333333333,3
89,Gabriel Sabaitis,0.6666666666666666,3
6,Albert Shen,0.0,3
7,Alejandro Rochin,0.6666666666666666,3
188,Patrick Patlan,0.3333333333333333,3
4,Al Lefkowitz,0.3333333333333333,3
228,Steve Morrow,0.6666666666666666,3
135,Juan Munoz,1.0,2
31,Brandon Saucedo,0.5,2
243,Tony Tamburrino,0.5,2
242,Tony Mullinax,1.0,2
241,Tom Harris,0.5,2
177,Mike Mikkelson,0.5,2
33,Brian Costello,1.0,2
206,Richard Davis,0.5,2
72,Declan Woods,1.0,2
32,Brian Beauchamp,0.0,2
144,Kevin Manderson,0.5,2
15,Andy Haigh,1.0,2
28,Brad Duruttya,0.5,2
176,Mike Mena,1.0,2
148,Lamont Nelson,0.5,2
193,Peter Hickmott,0.5,2
246,Unknown Judge,0.5,2
8,Alessandro Vieira,0.5,2
170,Michelle Agustin,1.0,2
155,Luke Hill,0.5,2
165,Mark Van Tine,0.5,2
158,Marcelo Vilhena,0.5,2
20,Anthony Townsend,1.0,2
12,Andreas Ramsby,0.0,2
226,Steve English,0.5,2
221,Ryan Shea,0.5,2
99,Hale Hilsabeck,1.0,2
84,Erick Philippeaux,0.5,2
95,Graham Bettes,1.0,2
96,Greg Monskie,1.0,2
92,Gino Garcia,0.5,2
59,Dan Mathisen,0.0,2
123,Jim Bergman,0.5,2
55,Craig Smith,1.0,2
106,Howard Reichbach,1.0,2
88,Fernando Amaral,1.0,2
108,Hubert Earle,1.0,2
230,Storm Oshyer,1.0,2
215,Ron Mann,0.5,2
214,Romulo Bittencourt,0.5,2
86,Fabio Alves,0.5,2
231,Sue Sanidad,1.0,2
67,David Ginsberg,1.0,2
224,Steve Armstrong,1.0,2
114,Jason Rodgers,1.0,2
210,Rob Francis,0.0,2
235,Terry Boehlke,0.5,2
80,Edward Collantes,0.5,2
225,Steve Elliott,0.5,2
77,Don Turnage,0.0,2
183,Nicolaj Bulow,1.0,1
252,William Mattingly,1.0,1
182,Nick Mahmood,1.0,1
227,Steve Garrean,1.0,1
249,Vito Paolillo,1.0,1
220,Ruben Najera,1.0,1
187,Patrick Buckley,1.0,1
192,Perry Hillin,1.0,1
223,Sal Signorino,1.0,1
191,Pedro Claudio,1.0,1
251,Wilfredo Cintron,1.0,1
207,Richard DeCarufel,0.0,1
247,Victor Wolf,1.0,1
201,Ric Bays,0.0,1
208,Rick Campos,1.0,1
238,Tim Turner,0.0,1
204,Rich Montanez,1.0,1
211,Robbie Scheuermann,1.0,1
203,Rich Green,1.0,1
202,Ricardo Almeida,0.0,1
237,Tim Corrado,0.0,1
236,Thomas Fan,1.0,1
213,Robert Madrigal,1.0,1
219,Ruben Carrion,0.0,1
200,Ray Martin,0.0,1
199,Ray Balewicz,1.0,1
198,Raul Porrata,0.0,1
197,Randy Corley,1.0,1
233,Sylvain LeBlanc,0.0,1
195,Phil Rogers,0.0,1
194,Peter Lavery,0.0,1
217,Ron Rodriguez,0.0,1
240,Todd Agosta,1.0,1
127,John Kloock,0.0,1
180,Nate Mann,1.0,1
65,Dave Stone,0.0,1
52,Clark Walters,0.0,1
53,Claude Paquette,1.0,1
58,Dan Furse,0.0,1
60,Daniel Torres,1.0,1
62,Darryl Ransom,1.0,1
63,Dave Brogan,1.0,1
68,David Hinkel,1.0,1
48,Chris Tellez,1.0,1
73,Dennis O'Connell,1.0,1
75,Don Balas,1.0,1
76,Don Robinson,1.0,1
81,Eliseo Rodriguez,0.0,1
87,Felipe Frank,1.0,1
91,Gerald Ritter,1.0,1
50,Christopher Doyle,1.0,1
47,Chris Reed,0.0,1
97,Guadalupe Chapa,0.0,1
27,Bob LeBlanc,0.0,1
3,Ahmed Korchi,1.0,1
11,Andreas Grüner,0.0,1
13,Andrew Adkins,1.0,1
14,Andrew Tomazik,0.0,1
16,Andy Kemp,1.0,1
23,Bass Singh,0.0,1
29,Brad Frank,0.0,1
45,Chris Hayes,1.0,1
30,Brandon Mason,1.0,1
37,Carlos Rodriguez,0.0,1
39,Cezary Wojciechowski,1.0,1
40,Charles Phillips,0.0,1
42,Chris Aliendi,1.0,1
44,Chris Franco,1.0,1
93,Glenn Hamada,1.0,1
103,Hector Maldonado,1.0,1
179,Myron Gaudet,1.0,1
166,Matt Janecek,1.0,1
142,Kevin Champion,1.0,1
143,Kevin Dornan,0.0,1
145,Kings Kao,1.0,1
147,Kristy Gynan,0.0,1
149,Lance Gibson,1.0,1
151,Lars Borssen,1.0,1
167,Matt Prieto,0.0,1
140,Kent Basinger,1.0,1
169,Michael Depasquale Jr.,0.0,1
171,Michelle Olney,1.0,1
172,Miguel Jimenez,0.0,1
174,Mike Gonzalez,1.0,1
175,Mike Guingona,1.0,1
178,Mike Ross,1.0,1
141,Kerry Hatley,1.0,1
138,Ken Barringer,0.0,1
104,Henry Krawiec,1.0,1
120,Jennie Cardenas,0.0,1
110,Jadranko Cacic,1.0,1
111,James Corbett,1.0,1
112,Jana Richmond,0.0,1
113,Jason McCoy,0.0,1
115,Jean Warring,0.0,1
119,Jeff Sinnett,1.0,1
121,Jerin Valel,0.0,1
133,Jose Tabora,0.0,1
122,Jespar Gunnarson,1.0,1
